Team,Game #,Date,Game Time,Result (W/L),Result (1/0),Point Differential,Home/Away,Opponent,Average Sentiment,N,Sentiment,pos,neg,neu,NonNeutral Sentiment,FiveThirtyEight Win Percent,Team's Win Percent,Opponent Win Percent
Bulls,0,21-Mar,8:00 PM,L,0,-33,H,Nuggets,0.52433281,637,334,335,1,301,0.994047619,0.41,0.329268293,0.56097561
Bulls,1,23-Mar,8:00 PM,L,0,-13,H,Bucks,0.515102041,1225,631,632,1,592,0.996840442,0.42,0.329268293,0.536585366
Bulls,2,24-Mar,7:00 PM,L,0,-22,A,Pistons,0.551937984,1290,712,714,2,574,0.994413408,0.18,0.329268293,0.475609756
Bulls,3,27-Mar,8:00 PM,L,0,-32,A,Rockets,0.456653226,992,453,455,2,535,0.991247265,0.03,0.329268293,0.792682927
Bulls,4,3-Apr,8:00 PM,W,1,6,H,Hornets,0.551077137,1439,793,798,5,636,0.9875467,0.49,0.329268293,0.43902439
Bulls,5,7-Apr,8:00 PM,L,0,-28,H,Nets,0.401223776,1144,459,546,87,511,0.725118483,0.54,0.329268293,0.341463415
Bulls,6,9-Apr,7:30 PM,L,0,-9,A,Nets,0.492736077,826,407,412,5,409,0.976019185,0.29,0.329268293,0.341463415
Bulls,7,11-Apr,8:00 PM,L,0,-32,H,Pistons,0.654829545,1408,922,924,2,482,0.995680346,0.44,0.329268293,0.475609756
Heat,0,21-Mar,7:30 PM,W,1,21,H,Knicks,0.951180258,1864,1773,1773,0,91,1,0.78,0.536585366,0.353658537
Heat,1,23-Mar,8:00 PM,L,0,-6,A,Thunder,0.960578842,2004,1925,1925,0,79,1,0.24,0.536585366,0.585365854
Heat,2,3-Apr,7:30 PM,W,1,3,H,Hawks,0.905109489,1781,1612,1617,5,159,0.993834772,0.84,0.536585366,0.292682927
Heat,3,4-Apr,7:30 PM,W,1,29,A,Hawks,0.91490045,3114,2849,2850,1,263,0.999298492,0.64,0.536585366,0.292682927
Heat,4,9-Apr,7:30 PM,L,0,-22,H,Thunder,0.913990826,2616,2391,2392,1,223,0.999164229,0.48,0.536585366,0.585365854
Heat,5,11-Apr,8:00 PM,W,1,7,H,Raptors,0.965270684,2937,2835,2835,0,102,1,0.36,0.536585366,0.719512195
Rockets,0,20-Mar,10:30 PM,W,1,4,A,Trail Blazers,0.456674473,5978,2730,3455,725,1798,0.653110048,0.58,0.792682927,0.597560976
Rockets,1,22-Mar,8:00 PM,W,1,4,H,Pistons,0.677384423,12005,8132,8182,50,3773,0.987852284,0.93,0.792682927,0.475609756
Rockets,2,24-Mar,8:00 PM,W,1,23,H,Pelicans,0.621878716,3364,2092,2121,29,1214,0.973023256,0.87,0.792682927,0.585365854
Rockets,3,27-Mar,8:00 PM,W,1,32,H,Bulls,0.744528044,2924,2177,2178,1,745,0.999082148,0.97,0.792682927,0.329268293
Rockets,4,3-Apr,8:00 PM,W,1,-2,H,Wizards,0.693438432,4694,3255,3258,3,1433,0.998160074,0.9,0.792682927,0.524390244
Rockets,5,5-Apr,8:00 PM,W,1,2,H,Trail Blazers,0.584247625,16315,9532,9533,1,6781,0.999790224,0.81,0.792682927,0.597560976
Rockets,6,7-Apr,8:30 PM,L,0,-6,H,Thunder,0.607615623,12238,7436,7444,8,4786,0.997852925,0.84,0.792682927,0.585365854
Rockets,7,10-Apr,10:30 PM,W,1,6,A,Lakers,0.470559768,6199,2917,3879,962,1358,0.602561454,0.76,0.792682927,0.426829268
Rockets,8,11-Apr,10:30 PM,L,0,-13,A,Kings,0.497620791,10928,5438,6718,1280,2930,0.67991998,0.86,0.792682927,0.329268293
